,Total Foreign,Year
Sistema universitario público,17266,2018
Universidad de Barcelona,3540,2018
Universidad Autónoma de Barcelona,5397,2018
Universidad Politécnica de Cataluña,2923,2018
Universidad Pompeu Fabra,2911,2018
Universidad de Girona,735,2018
Universidad de Lleida,714,2018
Universidad Rovira i Virgili,1046,2018
Sistema universitario privado,558,2018
Universidad Ramon Llull,0,2018
Universidad de Vic-Universidad Central de Cataluña,0,2018
Universidad Internacional de Cataluña,359,2018
Universidad Abat Oliba CEU,199,2018
Universidad Abierta de Cataluña,0,2018
Total,17824,2018
Sistema universitario público,16919,2017
Universidad de Barcelona,3414,2017
Universidad Autónoma de Barcelona,5741,2017
Universidad Politécnica de Cataluña,2858,2017
Universidad Pompeu Fabra,2627,2017
Universidad de Girona,706,2017
Universidad de Lleida,639,2017
Universidad Rovira i Virgili,934,2017
Sistema universitario privado,2759,2017
Universidad Ramon Llull,1402,2017
Universidad de Vic-Universidad Central de Cataluña,843,2017
Universidad Internacional de Cataluña,342,2017
Universidad Abat Oliba CEU,172,2017
Universidad Abierta de Cataluña,0,2017
Total,19678,2017
Sistema universitario público,16183,2016
Universidad de Barcelona,3323,2016
Universidad Autónoma de Barcelona,5504,2016
Universidad Politécnica de Cataluña,2801,2016
Universidad Pompeu Fabra,2402,2016
Universidad de Girona,613,2016
Universidad de Lleida,589,2016
Universidad Rovira i Virgili,951,2016
Sistema universitario privado,1233,2016
Universidad Ramon Llull,0,2016
Universidad de Vic-Universidad Central de Cataluña,769,2016
Universidad Internacional de Cataluña,309,2016
Universidad Abat Oliba CEU,155,2016
Universidad Abierta de Cataluña,0,2016
Total,17416,2016
Sistema universitario público,14264,2015
Universidad de Barcelona,3059,2015
Universidad Autónoma de Barcelona,4411,2015
Universidad Politécnica de Cataluña,2712,2015
Universidad Pompeu Fabra,2120,2015
Universidad de Girona,600,2015
Universidad de Lleida,519,2015
Universidad Rovira i Virgili,843,2015
Sistema universitario privado,929,2015
Universidad Ramon Llull,0,2015
Universidad de Vic-Universidad Central de Cataluña,555,2015
Universidad Internacional de Cataluña,230,2015
Universidad Abat Oliba CEU,144,2015
Universidad Abierta de Cataluña,13,2015
Total,15206,2015
Sistema universitario público,12240,2014
Universidad de Barcelona,3111,2014
Universidad Autónoma de Barcelona,2462,2014
Universidad Politécnica de Cataluña,2828,2014
Universidad Pompeu Fabra,1916,2014
Universidad de Girona,642,2014
Universidad de Lleida,515,2014
Universidad Rovira i Virgili,766,2014
Sistema universitario privado,2067,2014
Universidad Ramon Llull,1267,2014
Universidad de Vic-Universidad Central de Cataluña,486,2014
Universidad Internacional de Cataluña,183,2014
Universidad Abat Oliba CEU,131,2014
Universidad Abierta de Cataluña,11,2014
Total,14318,2014
